Player,Position,Age_at_Signing,Transfer_Season,Transfer_Type,Fee_Paid_EURm,Club_Signed_From,Source_League,Nationality,Current_Status,Current_Market_Value_EURm,Sale_Fee_EURm,Value_Used_EURm,Gain_Loss_Type,Value_Gain_Loss_EURm,Return_on_Fee_Pct,Palace_Usage_Total,Seasons_Played,Usage_per_Season,Efficiency_per_EURm,Avg_FotMob_Rating,Usage_Unit,Age_Bracket
Maxence Lacroix,DF,24,2024/25,Paid,18,Wolfsburg,Bundesliga,France,Still at Palace,50,,50,Gain,32,1.77777777777778,6205,2,3102.5,172.361111111111,7.01,Minutes,24-27
Ismaïla Sarr,FW,26,2024/25,Paid,15,Marseille,Ligue 1,Senegal,Still at Palace,45,,45,Gain,30,2,4890,2,2445,163,6.99,Minutes,24-27
Chadi Riad,DF,21,2024/25,Paid,15,Real Betis,LaLiga,Morocco / Spain,Still at Palace,20,,20,Gain,5,0.333333333333333,644,2,322,21.4666666666667,6.7,Minutes,Under 24
Romain Esse,FW,19,2024/25,Paid,14.2,Millwall,Championship,England / Côte d’Ivoire,Still at Palace (on loan),10,,10,Loss,-4.2,-0.295774647887324,135,1,135,9.50704225352113,6.58,Minutes,Under 24
Daichi Kamada,MD,27,2024/25,Free transfer,0,Lazio,Serie A,Japan,Released / Free,,0,0,Neutral,0,,3462,2,1731,,6.695,Minutes,24-27
Jørgen Strand Larsen,FW,25,2025/26,Paid,49.7,Wolves,Premier League,Norway,Still at Palace,40,,40,Loss,-9.7,-0.195171026156942,2316,1,2316,46.5995975855131,6.23,Minutes,24-27
Brennan Johnson,FW,24,2025/26,Paid,40,Tottenham,Premier League,Wales / England,Still at Palace,30,,30,Loss,-10,-0.25,1722,1,1722,43.05,6.57,Minutes,24-27
Yéremy Pino,FW,22,2025/26,Paid,30,Villarreal,LaLiga,Spain,Still at Palace,30,,30,Neutral,0,0,2091,1,2091,69.7,6.71,Minutes,Under 24
Jaydee Canvot,DF,19,2025/26,Paid,25,Toulouse,Ligue 1,France / Senegal,Still at Palace,28,,28,Gain,3,0.12,1334,1,1334,53.36,6.84,Minutes,Under 24
Borna Sosa,DF,27,2025/26,Paid,2.5,Ajax,Eredivisie,Croatia / Germany,Still at Palace,3,,3,Gain,0.5,0.2,99,1,99,39.6,,Minutes,24-27
Walter Benítez,GK,32,2025/26,Free transfer,0,PSV,Eredivisie,Argentina / France,Still at Palace,4,,4,Gain,4,,1,1,1,,,Matches,28+
